X,Y,OBJECTID,NOMBRE,ID,EXTERNO,DIRECCION,LOCALIDAD,ZONA_PLANEAMIENTO,EQUIPO,INTERSECCIONES_POR_EQUIPO,UBICACION,FECHA_INSTALACION,OPERACION,ZONA_AUTOMATICO,FUNCIONAMIENTO,IMPLEMENTACION,TIPO_INTER,GRUPOS_VEHICULARES,GRUPOS_BRT,GRUPOS_PEATONALES,GRUPOS_SONOROS,GRUPOS_CICLISTAS,FECHA_VIGENCIA,FUNCION_DETECTORES,DIRECCION_LARGA,BARRIO,CORREDOR,CLASIFICACION_INTERSECCION,ANO_INSTALACION,NOM_ESQUEMA,NOM_PLANEAMIENTO,NOM_ELECTRICO,URL_ESQUEMA,URL_PLANEAMIENTO,URL_NOM_ELECTRICO,GLOBALID
-74.06177486,4.65199456000005,1,1001,1172,1001,AK 11 X CL 66,CHAPINERO,NORTE 1,ACTROS,SENCILLA,SI,8/02/1998,NORMAL,1903,CA-TA,DEFINITIVA,"VEHICULAR, PEATONAL","1,3",N/A,23,N/A,NO,2021/03/25 00:00:01+00,"Conteo, Brechas",AV GERMAN ARCINIEGAS (AK 11) X CL 66,LOURDES,AV GERMAN ARCINIEGAS,PEQUEÑA,1998,1001_20210325_Esquema.pdf,1001_20210325_Planeamiento.pdf,1001_20210325_Electrico.pdf,,https://drive.google.com/file/d/1IVOBiFdNXa1P7-DA_ypC3q_rQJcISqaf/preview?usp=drivesdk,,7770c4b0-ab00-49c6-a53f-4c7093d9c65d
-74.0614283,4.65274920000007,2,1002,213,1002,AK 11 X CL 67,CHAPINERO,NORTE 1,ACTROS,DOBLE,SI,10/03/1994,PMT,1903,CA-TA,DEFINITIVA,"VEHICULAR, PEATONAL","4,11",N/A,24211,N/A,NO,2021/03/15 00:00:01+00,"Conteo, Brechas, Fases por demanda",AV GERMAN ARCINIEGAS (AK 11) X CL 67,LOURDES,NO,PEQUEÑA,1994,1002_20210315_Esquema.pdf,1002_20210315_Planeamiento.pdf,1002_20210315_Electrico.pdf,https://drive.google.com/file/d/1jzVrPxydq3Xt4tBytT7ecahpJbOJ6HtM/preview?usp=drivesdk,https://drive.google.com/file/d/153yt6xEFDDjWP8sq9PsGRvDZj4rjV5dU/preview?usp=drivesdk,,5c38fa65-a27c-4f95-9cb5-57dc8be86bdf
-74.0608158599999,4.65407399000003,3,1002,213,1002,AK 11 X CL 67,CHAPINERO,NORTE 1,ACTROS,DOBLE,NO,10/03/1994,PMT,1903,CA-TA,DEFINITIVA,"VEHICULAR, PEATONAL","1,3",N/A,"21,23,31,33",N/A,NO,2021/03/15 00:00:01+00,"Conteo, Brechas, Fases por demanda",AV GERMAN ARCINIEGAS (AK 11) X CL 69,LOURDES,NO,PEQUEÑA,1994,1002_20210315_Esquema.pdf,1002_20210315_Planeamiento.pdf,1002_20210315_Electrico.pdf,https://drive.google.com/file/d/1jzVrPxydq3Xt4tBytT7ecahpJbOJ6HtM/preview?usp=drivesdk,https://drive.google.com/file/d/153yt6xEFDDjWP8sq9PsGRvDZj4rjV5dU/preview?usp=drivesdk,,d40e46bd-2c8c-41a9-aeb2-88c5648341b0
-74.046808004,4.66516987200004,4,1003,73,1003,AK 7 X AC 85,CHAPINERO,NORTE 1,C900,SENCILLA,SI,23-dic-1997,NORMAL,1901,CA-TA,DEFINITIVA,"VEHICULAR, PEATONAL","1,2,2A,3,6",N/A,"21,23,32",N/A,NO,2022/06/14 00:00:01+00,"Conteo, Brechas, Fases por demanda",AV ALBERTO LLERAS CAMARGO (AK 7) X AV CALLE 85 (AC 85),ALFONSO LOPEZ,AV. CARRERA 7,MEDIANA,1997,1003_20220614_Esquema.pdf,1003_20220614_Planeamiento.pdf,1003_20220614_Electrico.pdf,,https://drive.google.com/file/d/12mhFcFqVcPlOhgs0k0lOeNiKUaiv5Wiq/preview?usp=drivesdk,,8ba3d21a-9bba-46f5-ac71-5b0b374b0946
-74.04735834,4.66440335200002,5,1004,81,1004,AK 7 X CL 85,CHAPINERO,NORTE 1,C900,DOBLE,SI,4/09/1997,NORMAL,1901,CA-TA,DEFINITIVA,"VEHICULAR, PEATONAL, BICIUSUARIOS","1,2A,2B,4,92A",N/A,"22A,24,31",N/A,"41,42",2022/06/14 00:00:01+00,"Conteo, Brechas",AV ALBERTO LLERAS CAMARGO (AK 7) X CL 85,LA ALAMEDA,AV. CARRERA 7,MEDIANA,1997,1004_20220614_Esquema.pdf,1004_20220614_Planeamiento.pdf,1004_20220614_Electrico.pdf,,https://drive.google.com/file/d/10Fll3ylqUNtegnstEJl7egz5M6HGCBnk/preview?usp=drivesdk,,e0713bc9-bc0c-45de-beef-5e0edb7bb48c
-74.0465232129999,4.66454214700002,6,1004,81,1004,AK 7 X CL 85,CHAPINERO,NORTE 1,C900,DOBLE,NO,4/09/1997,NORMAL,1901,CA-TA,DEFINITIVA,VEHICULAR,"1B,2,3",N/A,NO,N/A,NO,2022/06/14 00:00:01+00,"Conteo, Brechas, Cola",AV PATRICIO SAMPER GNECCO (AK 1) X CL 85,CHICO NORTE,AV. CARRERA 7,MEDIANA,1997,1004_20220614_Esquema.pdf,1004_20220614_Planeamiento.pdf,1004_20220614_Electrico.pdf,,https://drive.google.com/file/d/10Fll3ylqUNtegnstEJl7egz5M6HGCBnk/preview?usp=drivesdk,,f8a26cbe-45b7-4a37-8e6f-ba99fae706f7
-74.048703573,4.66306828500007,7,1005,89,1005,AK 7 X AC 82,CHAPINERO,NORTE 1,C900,DOBLE,NO,26-dic-1997,NORMAL,1908,CA-TA,DEFINITIVA,"VEHICULAR, PEATONAL","1,3,12,12A",N/A,"212,31",N/A,NO,2022/06/14 00:00:01+00,"Conteo, Brechas",AV ALBERTO LLERAS CAMARGO (AK 7) X AC 82,BELLAVISTA,AV. CARRERA 7,MEDIANA,1997,1005_20220614_Esquema.pdf,1005_20220614_Planeamiento.pdf,1005_20220614_Electrico.pdf,,https://drive.google.com/file/d/1IHFlafkyr5rFJs8lcsWU1g3fWfNnJ1FA/preview?usp=drivesdk,,b7a45bfb-e5f8-402d-8e07-a35ecb4430c5
-74.0493825899999,4.66241331000003,8,1005,89,1005,AK 7 X AC 82,CHAPINERO,NORTE 1,C900,DOBLE,SI,26-dic-1997,NORMAL,1908,CA-TA,DEFINITIVA,"VEHICULAR, PEATONAL, BICIUSUARIOS","2,2A,6,11",N/A,"211,32,36",N/A,42411,2022/06/14 00:00:01+00,"Conteo, Brechas",AV ALBERTO LLERAS CAMARGO (AK 7) X CL 81,CHAPINERO CENTRAL,AV. CARRERA 7,MEDIANA,1997,1005_20220614_Esquema.pdf,1005_20220614_Planeamiento.pdf,1005_20220614_Electrico.pdf,,https://drive.google.com/file/d/1IHFlafkyr5rFJs8lcsWU1g3fWfNnJ1FA/preview?usp=drivesdk,,da5421a8-5beb-4469-be04-b217cf011f40
-74.050382993,4.66123120900005,9,1006,102,1006,AK 7 X CL 79B,CHAPINERO,NORTE 1,C900,SENCILLA,SI,9/11/1980,NORMAL,1903,CA-TA,DEFINITIVA,"VEHICULAR, PEATONAL","1,2,2A,8,94",N/A,"22,24,31",N/A,NO,2021/09/06 00:00:01+00,"Conteo, Brechas, Fases por demanda, Cola - Siguiente Intersección, Fases por demanda peatones",AV ALBERTO LLERAS CAMARGO (AK 7) X CL 79B,CHICO NORTE,AV. CARRERA 7,MEDIANA,1980,1006_20210906_Esquema.pdf,1006_20210906_Planeamiento.pdf,1006_20210906_Electrico.pdf,https://drive.google.com/file/d/1Sip_cCb2f_HjQxmYjbyJibtQYMGnigBA/preview?usp=drivesdk,https://drive.google.com/file/d/1CnFEGn-ZCvKPp3_e0EJnqxZhtfTzsZMH/preview?usp=drivesdk,,1dc5048a-5587-4ab5-bb95-51075bbe6e45
-74.0522598809999,4.65942596300005,10,1007,118,1007,AK 7 X CL 77,CHAPINERO,NORTE 1,C900,SENCILLA,SI,12-dic-1997,NORMAL,1908,CA-TA,DEFINITIVA,"VEHICULAR, PEATONAL, BICIUSUARIOS","1,2,2A,3,5",N/A,"22,23,31",N/A,41,2022/06/14 00:00:01+00,"Conteo, Brechas, Fases por demanda",AV ALBERTO LLERAS CAMARGO (AK 7) X CL 77,FLORIDA BLANCA,AV. CARRERA 7,MEDIANA,1997,1007_20220614_Esquema.pdf,1007_20220614_Planeamiento.pdf,1007_20220614_Electrico.pdf,,,,100b8cce-9e0d-41f6-9a37-8e6572bd9611
